"","caseID","studyID","system","organism","duration","dist.cat","open","species","resp.cat","sum.con","AUC.RR","AUC.pi","con.pi","mean.delta.pi","mean.RR"
"1","CK002_1","CK002","marine","meiofauna",90,"phys","yes","Tanaidacea","abundance",92.7272727272726,-0.305418273769098,-0.00243545365977511,0.0070332362718317,-0.00102006410615822,-0.0680567408603392
"2","CK002_1","CK002","marine","meiofauna",90,"phys","yes","Tardigrada","abundance",386.757990867579,-0.0029897985984717,0.00604712274295309,0.0356822440733841,-0.00651639069132918,-0.115370112754983
"3","CK002_1","CK002","marine","meiofauna",90,"phys","yes","Turbellaria","abundance",531.963470319634,-0.209699814843268,-0.000401531590548732,0.0457620851844759,-0.000633399433050408,-0.156690489561286
"4","CK002_1","CK002","marine","meiofauna",90,"phys","yes","Harpacticoida","abundance",2580.82191780822,-0.264841793899232,-0.0303329269283707,0.223007247865098,-0.027581962989877,-0.204149316703133
"5","CK002_1","CK002","marine","meiofauna",90,"phys","yes","Nematoda","abundance",2200.913242,-0.22151279701301,-0.00663650446819126,0.19211198574351,0.00812495145912466,-0.138533514588723
"6","CK002_1","CK002","marine","meiofauna",90,"phys","yes","Polychaeta","abundance",535.38812785388,-0.282316910160257,-0.0047056753036393,0.0453061211671942,-0.00370945761600408,-0.207517665929683
"7","CK002_1","CK002","marine","meiofauna",90,"phys","yes","Ostracoda","abundance",2783.56164383561,-0.147334670894904,0.0480948178451259,0.236602070044175,0.0183009616846726,-0.143423656062263
"8","CK002_1","CK002","marine","meiofauna",90,"phys","yes","Nauplii","abundance",2507.27272727273,-0.244233487975997,-0.00962984863755395,0.214495009650331,0.0130353616926216,-0.13786690573814
"9","CK002_2","CK002","marine","meiofauna",90,"phys","yes","Tanaidacea","abundance",92.7272727272726,-0.563503416661311,-0.00433311477150965,0.0070332362718317,-0.00404699647630872,-0.452057065741276
"10","CK002_2","CK002","marine","meiofauna",90,"phys","yes","Tardigrada","abundance",386.757990867579,0.0656227619760357,0.0137341740359621,0.0356822440733841,-0.00414297480886181,-0.126287129866329
"11","CK002_2","CK002","marine","meiofauna",90,"phys","yes","Turbellaria","abundance",531.963470319634,-0.112529200900763,0.0235085857353861,0.0457620851844759,0.0137901957473185,-0.152229256112175
"12","CK002_2","CK002","marine","meiofauna",90,"phys","yes","Harpacticoida","abundance",2580.82191780822,-0.277966350180164,-0.000381780168377064,0.223007247865098,0.00079729114530922,-0.241925612881476
"13","CK002_2","CK002","marine","meiofauna",90,"phys","yes","Nematoda","abundance",2200.913242,-0.356076925602274,-0.0322120604163923,0.19211198574351,-0.0300534796432712,-0.313520420315789
"14","CK002_2","CK002","marine","meiofauna",90,"phys","yes","Polychaeta","abundance",535.38812785388,-0.474630083698025,-0.0167145306645421,0.0453061211671942,-0.0146313222985969,-0.417124057233309
"15","CK002_2","CK002","marine","meiofauna",90,"phys","yes","Ostracoda","abundance",2783.56164383561,-0.290212189399869,-0.00920626894400362,0.236602070044175,-0.00511113393467448,-0.248015635323735
"16","CK002_2","CK002","marine","meiofauna",90,"phys","yes","Nauplii","abundance",2507.27272727273,-0.241499922728801,0.0256049951934766,0.214495009650331,0.0433984202690854,-0.171028687253706
"17","CK006_1","CK006","terrestrial","plant",5110,"phys","yes","Vaccinium myrtillus","biomass",807.55102042,-0.0513186789905784,0.0205901581976421,0.3509242603706,0.0205423460575547,-0.0439858148727707
"18","CK006_1","CK006","terrestrial","plant",5110,"phys","yes","Vaccinium vitis idaea","biomass",616.70103092,-0.0849676122075704,-0.00463641077043555,0.272821104570863,-0.00423538352781706,-0.0771200514612806
